rank	lexeme_id	cell	system	policy	expected_expanded	expected_printed	source_id	passage	provenance	decision	review_reason
22	synodal:adjective:mudr	adjective:nominative:singular:masculine:animate:short:positive	adjective	strict	мꙋдръ	мꙋ́дръ	ponomar-elizabeth-bible-2026-08-09	Eccles.2.19	exact-attestation	blocked-cell-ambiguity	the surface is generated for multiple cells: adjective:genitive:plural:feminine:animate:short:positive,adjective:genitive:plural:feminine:inanimate:short:positive,adjective:nominative:singular:masculine:animate:short:positive,adjective:nominative:singular:masculine:inanimate:short:positive
23	synodal:adjective:mudr	adjective:nominative:singular:masculine:inanimate:short:positive	adjective	strict	мꙋдръ	мꙋ́дръ	ponomar-elizabeth-bible-2026-08-09	Eccles.2.19	exact-attestation	blocked-cell-ambiguity	the surface is generated for multiple cells: adjective:genitive:plural:feminine:animate:short:positive,adjective:genitive:plural:feminine:inanimate:short:positive,adjective:nominative:singular:masculine:animate:short:positive,adjective:nominative:singular:masculine:inanimate:short:positive
24	synodal:adjective:v06-1a7ee491487fbd39	adjective:nominative:singular:masculine:animate:short:positive	adjective	strict	крѣпокъ	крѣ́покъ	ponomar-elizabeth-bible-2026-08-09	Amos.2.9	exact-attestation	blocked-cell-ambiguity	the surface is generated for multiple cells: adjective:nominative:singular:masculine:animate:short:positive,adjective:nominative:singular:masculine:inanimate:short:positive
25	synodal:adjective:v06-1a7ee491487fbd39	adjective:nominative:singular:masculine:inanimate:short:positive	adjective	strict	крѣпокъ	крѣ́покъ	ponomar-elizabeth-bible-2026-08-09	Amos.2.9	exact-attestation	blocked-cell-ambiguity	the surface is generated for multiple cells: adjective:nominative:singular:masculine:animate:short:positive,adjective:nominative:singular:masculine:inanimate:short:positive
26	synodal:adjective:v06-6d8cbd0ea412c4e9	adjective:nominative:singular:masculine:animate:short:positive	adjective	strict	подобенъ	подо́бенъ	ponomar-elizabeth-bible-2026-08-09	Apoc.14.14	exact-attestation	blocked-cell-ambiguity	the surface is generated for multiple cells: adjective:nominative:singular:masculine:animate:short:positive,adjective:nominative:singular:masculine:inanimate:short:positive
27	synodal:adjective:v06-6d8cbd0ea412c4e9	adjective:nominative:singular:masculine:inanimate:short:positive	adjective	strict	подобенъ	подо́бенъ	ponomar-elizabeth-bible-2026-08-09	Apoc.14.14	exact-attestation	blocked-cell-ambiguity	the surface is generated for multiple cells: adjective:nominative:singular:masculine:animate:short:positive,adjective:nominative:singular:masculine:inanimate:short:positive
28	synodal:adjective:v06-6d8cbd0ea412c4e9	adjective:nominative:singular:neuter:animate:short:positive	adjective	strict	подобно	подо́бно	ponomar-elizabeth-bible-2026-08-09	Acts.17.29	exact-attestation	blocked-cell-ambiguity	the surface is generated for multiple cells: adjective:nominative:singular:neuter:animate:short:positive,adjective:nominative:singular:neuter:inanimate:short:positive
29	synodal:adjective:v06-6d8cbd0ea412c4e9	adjective:nominative:singular:neuter:inanimate:short:positive	adjective	strict	подобно	подо́бно	ponomar-elizabeth-bible-2026-08-09	Acts.17.29	exact-attestation	blocked-cell-ambiguity	the surface is generated for multiple cells: adjective:nominative:singular:neuter:animate:short:positive,adjective:nominative:singular:neuter:inanimate:short:positive
30	synodal:adjective:v06-73f4685d4e007ee3	adjective:nominative:singular:masculine:animate:short:positive	adjective	strict	Блаженъ	Блаже́нъ	ponomar-elizabeth-bible-2026-08-09	Isa.56.2	exact-attestation	blocked-cell-ambiguity	the surface is generated for multiple cells: adjective:nominative:singular:masculine:animate:short:positive,adjective:nominative:singular:masculine:inanimate:short:positive
31	synodal:adjective:v06-73f4685d4e007ee3	adjective:nominative:singular:masculine:inanimate:short:positive	adjective	strict	Блаженъ	Блаже́нъ	ponomar-elizabeth-bible-2026-08-09	Isa.56.2	exact-attestation	blocked-cell-ambiguity	the surface is generated for multiple cells: adjective:nominative:singular:masculine:animate:short:positive,adjective:nominative:singular:masculine:inanimate:short:positive
32	synodal:adjective:v06-a79476be07ef953c	adjective:nominative:singular:masculine:animate:short:positive	adjective	strict	вѣренъ	вѣ́ренъ	ponomar-elizabeth-bible-2026-08-09	Apoc.19.11	exact-attestation	blocked-cell-ambiguity	the surface is generated for multiple cells: adjective:nominative:singular:masculine:animate:short:positive,adjective:nominative:singular:masculine:inanimate:short:positive
33	synodal:adjective:v06-a79476be07ef953c	adjective:nominative:singular:masculine:inanimate:short:positive	adjective	strict	вѣренъ	вѣ́ренъ	ponomar-elizabeth-bible-2026-08-09	Apoc.19.11	exact-attestation	blocked-cell-ambiguity	the surface is generated for multiple cells: adjective:nominative:singular:masculine:animate:short:positive,adjective:nominative:singular:masculine:inanimate:short:positive
34	synodal:adjective:v06-e3bdc69bb0fe41f0	adjective:genitive:plural:feminine:animate:long:positive	adjective	strict	мнозѣхъ	мно́зѣхъ	ponomar-elizabeth-bible-2026-08-09	Acts.1.3	exact-attestation	blocked-cell-ambiguity	the surface is generated for multiple cells: adjective:genitive:plural:feminine:animate:long:positive,adjective:genitive:plural:feminine:inanimate:long:positive,adjective:genitive:plural:masculine:animate:long:positive,adjective:genitive:plural:masculine:inanimate:long:positive,adjective:locative:plural:masculine:animate:long:positive,adjective:locative:plural:masculine:inanimate:long:positive
35	synodal:adjective:v06-e3bdc69bb0fe41f0	adjective:genitive:plural:feminine:inanimate:long:positive	adjective	strict	мнозѣхъ	мно́зѣхъ	ponomar-elizabeth-bible-2026-08-09	Acts.1.3	exact-attestation	blocked-cell-ambiguity	the surface is generated for multiple cells: adjective:genitive:plural:feminine:animate:long:positive,adjective:genitive:plural:feminine:inanimate:long:positive,adjective:genitive:plural:masculine:animate:long:positive,adjective:genitive:plural:masculine:inanimate:long:positive,adjective:locative:plural:masculine:animate:long:positive,adjective:locative:plural:masculine:inanimate:long:positive
36	synodal:adjective:v06-e3bdc69bb0fe41f0	adjective:genitive:plural:masculine:animate:long:positive	adjective	strict	мнозѣхъ	мно́зѣхъ	ponomar-elizabeth-bible-2026-08-09	Acts.1.3	exact-attestation	blocked-cell-ambiguity	the surface is generated for multiple cells: adjective:genitive:plural:feminine:animate:long:positive,adjective:genitive:plural:feminine:inanimate:long:positive,adjective:genitive:plural:masculine:animate:long:positive,adjective:genitive:plural:masculine:inanimate:long:positive,adjective:locative:plural:masculine:animate:long:positive,adjective:locative:plural:masculine:inanimate:long:positive
37	synodal:adjective:v06-e3bdc69bb0fe41f0	adjective:genitive:plural:masculine:inanimate:long:positive	adjective	strict	мнозѣхъ	мно́зѣхъ	ponomar-elizabeth-bible-2026-08-09	Acts.1.3	exact-attestation	blocked-cell-ambiguity	the surface is generated for multiple cells: adjective:genitive:plural:feminine:animate:long:positive,adjective:genitive:plural:feminine:inanimate:long:positive,adjective:genitive:plural:masculine:animate:long:positive,adjective:genitive:plural:masculine:inanimate:long:positive,adjective:locative:plural:masculine:animate:long:positive,adjective:locative:plural:masculine:inanimate:long:positive
38	synodal:adjective:v06-e3bdc69bb0fe41f0	adjective:genitive:singular:masculine:animate:short:positive	adjective	strict	многа	мно́га	ponomar-elizabeth-bible-2026-08-09	Apoc.19.1	exact-attestation	blocked-cell-ambiguity	the surface is generated for multiple cells: adjective:genitive:singular:masculine:animate:short:positive,adjective:genitive:singular:masculine:inanimate:short:positive,adjective:genitive:singular:neuter:animate:short:positive,adjective:genitive:singular:neuter:inanimate:short:positive,adjective:nominative:plural:neuter:animate:short:positive,adjective:nominative:plural:neuter:inanimate:short:positive,adjective:nominative:singular:feminine:animate:short:positive,adjective:nominative:singular:feminine:inanimate:short:positive
39	synodal:adjective:v06-e3bdc69bb0fe41f0	adjective:genitive:singular:masculine:inanimate:short:positive	adjective	strict	многа	мно́га	ponomar-elizabeth-bible-2026-08-09	Apoc.19.1	exact-attestation	blocked-cell-ambiguity	the surface is generated for multiple cells: adjective:genitive:singular:masculine:animate:short:positive,adjective:genitive:singular:masculine:inanimate:short:positive,adjective:genitive:singular:neuter:animate:short:positive,adjective:genitive:singular:neuter:inanimate:short:positive,adjective:nominative:plural:neuter:animate:short:positive,adjective:nominative:plural:neuter:inanimate:short:positive,adjective:nominative:singular:feminine:animate:short:positive,adjective:nominative:singular:feminine:inanimate:short:positive
40	synodal:adjective:v06-e3bdc69bb0fe41f0	adjective:genitive:singular:neuter:animate:short:positive	adjective	strict	многа	мно́га	ponomar-elizabeth-bible-2026-08-09	Apoc.19.1	exact-attestation	blocked-cell-ambiguity	the surface is generated for multiple cells: adjective:genitive:singular:masculine:animate:short:positive,adjective:genitive:singular:masculine:inanimate:short:positive,adjective:genitive:singular:neuter:animate:short:positive,adjective:genitive:singular:neuter:inanimate:short:positive,adjective:nominative:plural:neuter:animate:short:positive,adjective:nominative:plural:neuter:inanimate:short:positive,adjective:nominative:singular:feminine:animate:short:positive,adjective:nominative:singular:feminine:inanimate:short:positive
41	synodal:adjective:v06-e3bdc69bb0fe41f0	adjective:genitive:singular:neuter:inanimate:short:positive	adjective	strict	многа	мно́га	ponomar-elizabeth-bible-2026-08-09	Apoc.19.1	exact-attestation	blocked-cell-ambiguity	the surface is generated for multiple cells: adjective:genitive:singular:masculine:animate:short:positive,adjective:genitive:singular:masculine:inanimate:short:positive,adjective:genitive:singular:neuter:animate:short:positive,adjective:genitive:singular:neuter:inanimate:short:positive,adjective:nominative:plural:neuter:animate:short:positive,adjective:nominative:plural:neuter:inanimate:short:positive,adjective:nominative:singular:feminine:animate:short:positive,adjective:nominative:singular:feminine:inanimate:short:positive
42	synodal:adjective:v06-e3bdc69bb0fe41f0	adjective:locative:plural:masculine:animate:long:positive	adjective	strict	мнозѣхъ	мно́зѣхъ	ponomar-elizabeth-bible-2026-08-09	Acts.1.3	exact-attestation	blocked-cell-ambiguity	the surface is generated for multiple cells: adjective:genitive:plural:feminine:animate:long:positive,adjective:genitive:plural:feminine:inanimate:long:positive,adjective:genitive:plural:masculine:animate:long:positive,adjective:genitive:plural:masculine:inanimate:long:positive,adjective:locative:plural:masculine:animate:long:positive,adjective:locative:plural:masculine:inanimate:long:positive
43	synodal:adjective:v06-e3bdc69bb0fe41f0	adjective:locative:plural:masculine:inanimate:long:positive	adjective	strict	мнозѣхъ	мно́зѣхъ	ponomar-elizabeth-bible-2026-08-09	Acts.1.3	exact-attestation	blocked-cell-ambiguity	the surface is generated for multiple cells: adjective:genitive:plural:feminine:animate:long:positive,adjective:genitive:plural:feminine:inanimate:long:positive,adjective:genitive:plural:masculine:animate:long:positive,adjective:genitive:plural:masculine:inanimate:long:positive,adjective:locative:plural:masculine:animate:long:positive,adjective:locative:plural:masculine:inanimate:long:positive
44	synodal:adjective:v06-e3bdc69bb0fe41f0	adjective:locative:singular:feminine:animate:short:positive	adjective	strict	мнозѣ	мно́зѣ	ponomar-elizabeth-bible-2026-08-09	Acts.20.9	exact-attestation	blocked-cell-ambiguity	the surface is generated for multiple cells: adjective:locative:singular:feminine:animate:short:positive,adjective:locative:singular:feminine:inanimate:short:positive
45	synodal:adjective:v06-e3bdc69bb0fe41f0	adjective:locative:singular:feminine:inanimate:short:positive	adjective	strict	мнозѣ	мно́зѣ	ponomar-elizabeth-bible-2026-08-09	Acts.20.9	exact-attestation	blocked-cell-ambiguity	the surface is generated for multiple cells: adjective:locative:singular:feminine:animate:short:positive,adjective:locative:singular:feminine:inanimate:short:positive
46	synodal:adjective:v06-e3bdc69bb0fe41f0	adjective:nominative:plural:neuter:animate:short:positive	adjective	strict	многа	мно́га	ponomar-elizabeth-bible-2026-08-09	Apoc.19.1	exact-attestation	blocked-cell-ambiguity	the surface is generated for multiple cells: adjective:genitive:singular:masculine:animate:short:positive,adjective:genitive:singular:masculine:inanimate:short:positive,adjective:genitive:singular:neuter:animate:short:positive,adjective:genitive:singular:neuter:inanimate:short:positive,adjective:nominative:plural:neuter:animate:short:positive,adjective:nominative:plural:neuter:inanimate:short:positive,adjective:nominative:singular:feminine:animate:short:positive,adjective:nominative:singular:feminine:inanimate:short:positive
47	synodal:adjective:v06-e3bdc69bb0fe41f0	adjective:nominative:plural:neuter:inanimate:short:positive	adjective	strict	многа	мно́га	ponomar-elizabeth-bible-2026-08-09	Apoc.19.1	exact-attestation	blocked-cell-ambiguity	the surface is generated for multiple cells: adjective:genitive:singular:masculine:animate:short:positive,adjective:genitive:singular:masculine:inanimate:short:positive,adjective:genitive:singular:neuter:animate:short:positive,adjective:genitive:singular:neuter:inanimate:short:positive,adjective:nominative:plural:neuter:animate:short:positive,adjective:nominative:plural:neuter:inanimate:short:positive,adjective:nominative:singular:feminine:animate:short:positive,adjective:nominative:singular:feminine:inanimate:short:positive
48	synodal:adjective:v06-e3bdc69bb0fe41f0	adjective:nominative:singular:feminine:animate:short:positive	adjective	strict	многа	мно́га	ponomar-elizabeth-bible-2026-08-09	Apoc.19.1	exact-attestation	blocked-cell-ambiguity	the surface is generated for multiple cells: adjective:genitive:singular:masculine:animate:short:positive,adjective:genitive:singular:masculine:inanimate:short:positive,adjective:genitive:singular:neuter:animate:short:positive,adjective:genitive:singular:neuter:inanimate:short:positive,adjective:nominative:plural:neuter:animate:short:positive,adjective:nominative:plural:neuter:inanimate:short:positive,adjective:nominative:singular:feminine:animate:short:positive,adjective:nominative:singular:feminine:inanimate:short:positive
49	synodal:adjective:v06-e3bdc69bb0fe41f0	adjective:nominative:singular:feminine:inanimate:short:positive	adjective	strict	многа	мно́га	ponomar-elizabeth-bible-2026-08-09	Apoc.19.1	exact-attestation	blocked-cell-ambiguity	the surface is generated for multiple cells: adjective:genitive:singular:masculine:animate:short:positive,adjective:genitive:singular:masculine:inanimate:short:positive,adjective:genitive:singular:neuter:animate:short:positive,adjective:genitive:singular:neuter:inanimate:short:positive,adjective:nominative:plural:neuter:animate:short:positive,adjective:nominative:plural:neuter:inanimate:short:positive,adjective:nominative:singular:feminine:animate:short:positive,adjective:nominative:singular:feminine:inanimate:short:positive
